Series Name,Official Core Consumer Price Index
200712,57.9
200801,58.5
200802,58.9
200803,59.4
200804,59.5
200805,59.9
200806,60.7
200807,61.2
200808,61.4
200809,61.7
200810,62
200811,62.4
200812,62.6
200901,62.8
200902,63.3
200903,63.6
200904,63.8
200905,63.9
200906,64
200907,64.2
200908,64.3
200909,64.7
200910,64.8
200911,65
200912,65.3
201001,65.6
201002,65.7
201003,65.9
201004,66.1
201005,66.4
201006,66.6
201007,66.8
201008,67.1
201009,67.3
201010,67.6
201011,67.8
201012,68.1
201101,68.3
201102,68.6
201103,68.8
201104,69.1
201105,69.4
201106,69.7
201107,69.9
201108,70.5
201109,70.6
201110,70.5
201111,70.9
201112,71.1
201201,71.3
201202,71.5
201203,71.8
201204,72.1
201205,72.3
201206,72.6
201207,72.9
201208,73.4
201209,73.5
201210,73.8
201211,74
201212,74.2
201301,74.4
201302,74.6
201303,74.9
201304,75.1
201305,75.3
201306,75.5
201307,75.9
201308,76.2
201309,76.6
201310,76.9
201311,77.2
201312,77.4
201401,77.8
201402,78
201403,78.3
201404,78.6
201405,78.9
201406,79.1
201407,79.4
201408,79.6
201409,79.7
201410,80
201411,80.4
201412,81.3
201501,81.7
201502,81.9
201503,82.2
201504,82.5
201505,82.8
201506,83.1
201507,83.3
201508,83.6
201509,83.8
201510,84.1
201511,84.3
201512,84.5
201601,84.6
201602,84.9
201603,85.1
201604,85.4
201605,85.6
201606,85.9
201607,86.1
201608,86.3
201609,86.5
201610,86.7
201611,86.9
201612,87.1
201701,87.5
201702,87.8
201703,87.9
201704,88.2
201705,88.3
201706,88.6
201707,88.7
201708,88.9
201709,89.1
201710,89.3
201711,89.5
201712,89.7
201801,89.9
201802,90.1
201803,90.3
201804,90.5
201805,90.7
201806,91
201807,91.3
201808,91.4
201809,91.6
201810,92
201811,92.2
201812,92.4
201901,92.5
201902,92.8
201903,93
201904,93.2
201905,93.4
201906,93.8
201907,94.1
201908,94.3
201909,94.5
201910,94.7
201911,94.9
201912,95.1
202001,95.2
202002,95.3
202003,95.6
202004,95.8
202005,95.9
202006,95.9
202007,96
202008,96.2
202009,96.3
202010,96.4
202011,96.5
202012,96.6
202101,96.7
202102,96.8
202103,96.8
202104,96.9
202105,97.2
202106,97.3
202107,97.4
202108,97.5
202109,97.6
202110,97.7
202111,97.9
202112,98.1
202201,98.5
202202,98.8
202203,99.1
202204,99.4
202205,99.6
202206,99.9
202207,100.1
202208,100.4
202209,100.7
202210,101
202211,101.2
202212,101.4
202301,101.5
202302,101.7
202303,101.8
202304,102
202305,102.1
202306,102.3
202307,102.4
202308,102.5
202309,102.6
202310,102.7
202311,102.9
202312,103.1
202401,103.3
202402,103.4
202403,103.6
202404,103.8
202405,104.1
202406,104.2
202407,104.4
202408,104.6
202409,104.7
202410,105
202411,105.2
202412,105.4
202501,105.7
202502,106
202503,106.2
