Series Name,Official Core Consumer Price Index
200501,91.2
200502,91.3
200503,91.3
200504,91.5
200505,91.7
200506,91.7
200507,91.7
200508,92
200509,92.1
200510,92.4
200511,92.5
200512,92.7
200601,92.7
200602,92.9
200603,93.1
200604,93.2
200605,93.2
200606,93.3
200607,93.2
200608,93.2
200609,93.4
200610,93.5
200611,93.6
200612,93.8
200701,93.9
200702,93.9
200703,94.2
200704,94.2
200705,94.3
200706,94.5
200707,94.8
200708,95
200709,95
200710,95.1
200711,95.4
200712,95.6
200801,95.8
200802,96
200803,96.1
200804,96.4
200805,96.7
200806,97.4
200807,97.6
200808,97.8
200809,97.9
200810,98.3
200811,97.9
200812,98
200901,98.1
200902,98.3
200903,98.4
200904,98.4
200905,98.5
200906,98.6
200907,98.7
200908,98.7
200909,99
200910,99.1
200911,99.3
200912,99.4
201001,99.6
201002,99.6
201003,99.7
201004,99.8
201005,99.8
201006,99.7
201007,99.9
201008,100.1
201009,100.2
201010,100.5
201011,100.6
201012,100.8
201101,101
201102,101
201103,101.3
201104,101.4
201105,101.7
201106,101.9
201107,102.1
201108,102.4
201109,102.5
201110,102.4
201111,102.5
201112,102.7
201201,102.7
201202,103
201203,103
201204,103.2
201205,103.1
201206,103.1
201207,103.2
201208,103.4
201209,103.5
201210,103.7
201211,103.7
201212,103.8
201301,103.9
201302,104
201303,104.1
201304,104.2
201305,104.4
201306,104.6
201307,104.7
201308,104.8
201309,104.9
201310,105.3
201311,105.6
201312,105.8
201401,106.1
201402,106.4
201403,106.5
201404,106.7
201405,106.7
201406,106.9
201407,107.1
201408,107.2
201409,107.6
201410,107.1
201411,107.9
201412,108.1
201501,108.2
201502,108.6
201503,108.8
201504,110
201505,110.3
201506,110.6
201507,111.1
201508,111.3
201509,111.6
201510,111.4
201511,112.6
201512,113
201601,112.8
201602,112.9
201603,112.9
201604,113.1
201605,113.3
201606,113.5
201607,113.7
201608,114
201609,114.2
201610,114.3
201611,114.4
201612,114.6
201701,114.8
201702,115.1
201703,115.2
201704,115.4
201705,115.5
201706,115.6
201707,115.8
201708,116.1
201709,116.1
201710,116.1
201711,116.1
201712,116.1
201801,116.4
201802,116.5
201803,116.6
201804,116.8
201805,117
201806,115.5
201807,115.6
201808,115.6
201809,116.4
201810,116.2
201811,116.4
201812,116.7
201901,116.7
201902,116.8
201903,117
201904,117.1
201905,117.3
201906,117.6
201907,117.7
201908,117.8
201909,118
201910,118.2
201911,118.3
201912,118.4
202001,118.5
202002,118.5
202003,118.5
202004,118.4
202005,118.5
202006,118.5
202007,118.7
202008,118.8
202009,119
202010,119.1
202011,119
202012,118.9
202101,119.1
202102,119.1
202103,119.1
202104,119.2
202105,119.3
202106,119.3
202107,119.2
202108,119
202109,119.1
202110,119.4
202111,119.4
202112,119.6
202201,119.8
202202,120
202203,120.3
202204,120.6
202205,120.8
202206,121.1
202207,121.5
202208,121.8
202209,122
202210,122.2
202211,122.4
202212,122.7
202301,122.8
202302,122.9
202303,122.9
202304,123.3
202305,123.1
202306,123.5
202307,123.3
202308,123.4
202309,123.6
202310,123.7
202311,124
202312,124.4
202401,123.9
202402,124.7
202403,124.8
202404,125.1
202405,125.4
202406,125.5
202407,125.6
202408,125.6
202409,125.7
202410,125.5
202411,125.5
202412,125.4
202501,125.5
202502,125.9
