Series Name,Official Core Consumer Price Index
201106,84.1
201107,84.2
201108,84.5
201109,84.6
201110,84.7
201111,85.1
201112,85.1
201201,85.5
201202,85.7
201203,86
201204,86.3
201205,86.7
201206,86.7
201207,86.7
201208,86.9
201209,87.2
201210,87.5
201211,87.6
201212,87.8
201301,87.9
201302,88.6
201303,88.8
201304,88.8
201305,88.9
201306,89.1
201307,89.5
201308,89.7
201309,89.7
201310,89.8
201311,90
201312,90.3
201401,90.3
201402,90.4
201403,90.6
201404,90.7
201405,90.9
201406,91.1
201407,91.7
201408,91.4
201409,91.6
201410,91.6
201411,91.9
201412,91.6
201501,91.5
201502,91.7
201503,91.7
201504,91.9
201505,92
201506,92.2
201507,92.3
201508,92.3
201509,92.3
201510,92.7
201511,92.7
201512,93
201601,92.9
201602,92.8
201603,93.1
201604,93.3
201605,93.5
201606,93.8
201607,93.8
201608,93.9
201609,94.2
201610,94.3
201611,94.6
201612,95.1
201701,95.3
201702,95.4
201703,95.5
201704,95.6
201705,95.7
201706,95.8
201707,95.9
201708,96.1
201709,96.4
201710,96.5
201711,96.9
201712,97.1
201801,97.7
201802,98.4
201803,98.9
201804,99.2
201805,99.6
201806,99.7
201807,100.2
201808,100.6
201809,100.8
201810,101.3
201811,101.6
201812,101.4
201901,101.5
201902,101.7
201903,102.2
201904,102.7
201905,103
201906,102.8
201907,103.2
201908,103.5
201909,103.8
201910,104.1
201911,104.4
201912,104.7
202001,105
202002,104.9
202003,104.9
202004,104.3
202005,104.4
202006,105.6
202007,106.6
202008,106.8
202009,107.2
202010,107.3
202011,107.3
202012,108.2
202101,108.3
202102,108.7
202103,109
202104,109.2
202105,109.6
202106,109.8
202107,110
202108,110.2
202109,110.3
202110,110.8
202111,111.1
202112,111.2
202201,111.4
202202,112
202203,112.6
202204,113.3
202205,114
202206,114.9
202207,115.7
202208,115.8
202209,116.2
202210,116.8
202211,117.7
202212,117.7
202301,118.6
202302,119.1
202303,119.3
202304,119.7
202305,119.8
202306,120
202307,120
202308,120.9
202309,121.7
202310,121.9
202311,122.1
202312,122.3
202401,122.6
202402,123.1
202403,123.5
202404,123.7
202405,123.9
202406,123.8
202407,124.1
202408,124.2
202409,124.2
202410,124.2
202411,124.7
202412,125.4
202501,125.5
202502,125.5
202503,125.3
