Series Name,Official Core Consumer Price Index
200701,71.301
200702,71.228
200703,71.226
200704,71.27
200705,71.499
200706,71.686
200707,72.376
200708,72.46
200709,72.702
200710,72.857
200711,73.28
200712,74.468
200801,74.751
200802,75.076
200803,75.382
200804,75.876
200805,76.185
200806,76.388
200807,76.49
200808,76.68
200809,76.811
200810,77.361
200811,77.386
200812,77.495
200901,76.631
200902,76.644
200903,76.824
200904,76.032
200905,76.087
200906,76.124
200907,76.089
200908,76.057
200909,76.148
200910,76.334
200911,76.318
200912,76.418
201001,76.502
201002,76.796
201003,77.059
201004,77.202
201005,77.371
201006,77.41
201007,77.63
201008,77.829
201009,77.925
201010,77.878
201011,78.03
201012,78.078
201101,77.922
201102,78.277
201103,78.501
201104,78.867
201105,78.97
201106,79.127
201107,79.315
201108,79.502
201109,79.593
201110,79.714
201111,79.936
201112,80.178
201201,80.579
201202,80.734
201203,80.799
201204,80.999
201205,81.062
201206,81.193
201207,81.216
201208,81.294
201209,81.499
201210,81.543
201211,81.56
201212,81.709
201301,81.807
201302,82.031
201303,82.129
201304,82.114
201305,82.386
201306,82.545
201307,82.485
201308,82.755
201309,82.891
201310,83.058
201311,83.334
201312,83.373
201401,83.545
201402,83.595
201403,83.819
201404,84.063
201405,84.239
201406,84.269
201407,84.299
201408,84.403
201409,84.374
201410,84.517
201411,84.552
201412,84.64
201501,84.622
201502,84.588
201503,84.585
201504,84.44
201505,84.33
201506,84.412
201507,84.591
201508,84.624
201509,84.856
201510,84.73
201511,84.712
201512,84.841
201601,84.84
201602,84.988
201603,85.173
201604,85.14
201605,85.204
201606,85.322
201607,85.401
201608,85.489
201609,85.628
201610,85.658
201611,85.796
201612,85.892
201701,85.941
201702,86.108
201703,86.21
201704,86.576
201705,86.562
201706,86.615
201707,86.738
201708,86.734
201709,86.866
201710,86.962
201711,87.088
201712,87.041
201801,87.41
201802,87.38
201803,87.446
201804,87.725
201805,87.847
201806,88.048
201807,88.385
201808,88.411
201809,88.458
201810,88.59
201811,88.559
201812,88.691
201901,88.868
201902,88.977
201903,89.014
201904,88.991
201905,88.95
201906,88.988
201907,88.905
201908,88.997
201909,88.976
201910,89.039
201911,89.071
201912,89.218
202001,88.987
202002,89.063
202003,88.86
202004,88.764
202005,88.789
202006,88.819
202007,88.601
202008,88.749
202009,88.885
202010,88.932
202011,89.054
202012,89.007
202101,89.1
202102,89.02
202103,89.268
202104,89.301
202105,89.506
202106,89.346
202107,89.541
202108,89.782
202109,89.954
202110,90.274
202111,90.578
202112,90.917
202201,91.047
202202,91.13
202203,91.87
202204,92.258
202205,92.695
202206,93.305
202207,93.854
202208,94.342
202209,94.746
202210,94.955
202211,95.284
202212,95.604
202301,95.967
202302,96.289
202303,96.513
202304,96.827
202305,97.025
202306,97.224
202307,97.436
202308,97.549
202309,97.641
202310,98.158
202311,98.422
202312,98.799
202401,99.384
202402,99.436
202403,99.63
202404,99.802
202405,100.049
202406,100.022
202407,100.006
202408,100.219
202409,100.439
202410,100.245
202411,100.311
202412,100.496
202501,99.949
202502,100.173
